Segment_Index;Rep_Level;Decision_Point_Of_Time;Case;DelayCase
0;0;2.41221;0;0;
1;0;3.41811;3;0;
2;0;6.23673;3;0;
3;0;6.46343;3;0;
4;0;6.68358;3;0;
5;0;7.04451;3;0;
6;1;7.57301;1;0;
7;1;7.82798;3;0;
8;2;8.15862;1;0;
9;2;8.97145;3;0;
10;3;9.44819;1;0;
11;3;11.2701;3;0;
12;4;12.2382;1;0;
13;4;12.9522;3;0;
14;5;13.3137;1;0;
15;4;15.9459;1;0;
16;4;17.0594;3;0;
17;5;17.5454;1;0;
18;5;18.7674;3;0;
19;6;19.5805;1;0;
20;6;21.0795;3;0;
21;7;23.5763;1;0;
22;6;25.7963;1;0;
23;5;29.1424;1;0;
24;5;30.443;3;0;
25;6;31.0597;1;0;
26;6;32.0543;3;0;
27;6;33.4928;3;0;
28;7;34.5509;1;0;
29;7;36.304;3;0;
30;6;39.1778;1;0;
