Time_Now;MBytes_Received;MME
2;0;0;
3;0.100096;0.050048;
4;3.2;1.62502;
5;0;0.812512;
6;0;0.406256;
7;0;0.203128;
8;0;0.101564;
9;0;0.050782;
10;0;0.025391;
11;0;0.0126955;
12;0;0.00634775;
13;0;0.00317388;
14;0;0.00158694;
15;0;0.000793469;
16;0;0.000396734;
17;0;0.000198367;
18;0;9.91836e-05;
19;0;4.95918e-05;
20;0;2.47959e-05;
21;0;1.23979e-05;
22;0;6.19897e-06;
23;0;3.09949e-06;
24;0;1.54974e-06;
25;0;7.74872e-07;
26;0;3.87436e-07;
27;0;1.93718e-07;
28;0;9.6859e-08;
29;0;4.84295e-08;
30;0;2.42147e-08;
31;4.20587;2.10294;
32;0.05784;1.08039;
33;0.17352;0.626954;
34;0.532128;0.579541;
35;1.34189;0.960715;
36;4.09507;2.52789;
37;1.59368;2.06079;
38;0;1.03039;
39;0;0.515197;
40;4.1943;2.35475;
41;0.034704;1.19473;
42;0.11568;0.655204;
43;0.34704;0.501122;
44;0.902304;0.701713;
45;1.20597;0.95384;
46;0;0.47692;
47;0;0.23846;
48;0;0.11923;
49;0;0.059615;
50;0;0.0298075;
51;0;0.0149038;
52;0;0.00745188;
53;0;0.00372594;
54;0;0.00186297;
55;0;0.000931485;
56;0;0.000465742;
57;0;0.000232871;
58;0;0.000116436;
59;0;5.82178e-05;
60;0;2.91089e-05;
61;0;1.45545e-05;
62;0;7.27723e-06;
63;0;3.63861e-06;
64;0;1.81931e-06;
65;0;9.09653e-07;
