Segment_Index;Playback_Start;Quality_Level;Server_Address
0;3.41811;0;4.0.0.1;
1;6.23673;0;4.0.0.1;
2;8.23673;0;2.0.0.1;
3;10.2367;0;2.0.0.1;
4;12.2367;0;1.0.0.1;
5;14.2367;0;2.0.0.1;
6;16.2367;1;1.0.0.1;
7;18.2367;1;1.0.0.1;
8;20.2367;2;1.0.0.1;
9;22.2367;2;2.0.0.1;
10;24.2367;3;3.0.0.1;
11;26.2367;3;2.0.0.1;
12;28.2367;4;2.0.0.1;
13;30.2367;4;3.0.0.1;
14;32.2367;5;1.0.0.1;
15;34.2367;4;1.0.0.1;
16;36.2367;4;2.0.0.1;
17;38.2367;5;2.0.0.1;
18;40.2367;5;3.0.0.1;
19;42.2367;6;3.0.0.1;
20;44.2367;6;3.0.0.1;
21;46.2367;7;3.0.0.1;
22;48.2367;6;3.0.0.1;
23;50.2367;5;3.0.0.1;
24;52.2367;5;3.0.0.1;
25;54.2367;6;3.0.0.1;
26;56.2367;6;3.0.0.1;
27;58.2367;6;3.0.0.1;
28;60.2367;7;3.0.0.1;
29;62.2367;7;3.0.0.1;
