Segment_Index;Rep_Level;Decision_Point_Of_Time;Case;DelayCase
0;0;2.41913;0;0;
1;0;3.42477;3;0;
2;0;6.24494;3;0;
3;0;6.64736;3;0;
4;0;7.07375;3;0;
5;0;7.61341;3;0;
6;1;7.81457;1;0;
7;1;8.0814;3;0;
8;2;8.27485;1;0;
9;2;8.5596;3;0;
10;3;8.93362;1;0;
11;3;9.41523;3;0;
12;4;11.2529;1;0;
13;4;12.2749;3;0;
14;4;13.9543;3;0;
15;4;16.0217;3;0;
16;4;17.1422;3;0;
17;4;19.0154;3;0;
18;4;19.8233;3;0;
19;5;20.1128;1;0;
20;5;21.0119;3;0;
21;5;23.3231;3;0;
22;6;25.0021;1;0;
23;5;26.4297;1;0;
24;5;27.1376;3;0;
25;6;28.0465;1;0;
26;6;28.6915;3;0;
27;7;29.2301;1;0;
28;7;31.7723;3;0;
29;7;33.013;3;1;
30;7;36.1344;3;0;
