Segment_Index;Rep_Level;Decision_Point_Of_Time;Case;DelayCase
0;0;2.41553;0;0;
1;0;3.42127;3;0;
2;0;6.24578;3;0;
3;0;6.74183;3;0;
4;0;7.07255;3;0;
5;0;7.60219;3;0;
6;1;7.79469;1;0;
7;1;8.03966;3;0;
8;2;8.1822;1;0;
9;2;8.51592;3;0;
10;3;9.32479;1;0;
11;3;10.9522;3;0;
12;4;11.507;1;0;
13;4;13.0709;3;0;
14;4;13.5496;3;0;
15;5;14.1076;1;0;
16;5;15.7912;3;0;
17;6;16.8581;1;0;
18;6;19.1341;3;0;
19;5;21.5421;1;0;
20;5;22.3509;3;0;
21;6;23.0673;1;0;
22;6;24.5599;3;0;
23;7;25.6608;1;0;
24;6;29.1031;1;0;
25;6;30.579;3;0;
26;7;31.5856;1;0;
27;6;34.2797;1;0;
28;6;35.5945;3;0;
29;7;36.5868;1;0;
30;7;37.834;3;0;
