Time_Now;MBytes_Received;Server_Address
2;0;4.0.0.1;
3;0.011568;4.0.0.1;
4;0.04816;4.0.0.1;
5;0.127248;4.0.0.1;
6;0.40488;4.0.0.1;
7;2.16864;1.0.0.1;
8;2.88843;2.0.0.1;
9;4.35269;2.0.0.1;
10;8.24293;1.0.0.1;
11;2.61437;1.0.0.1;
12;3.74808;2.0.0.1;
13;1.20312;2.0.0.1;
14;1.46914;2.0.0.1;
15;3.41256;2.0.0.1;
16;1.80262;3.0.0.1;
17;1.35346;3.0.0.1;
18;5.65477;2.0.0.1;
19;10.955;2.0.0.1;
20;8.62774;1.0.0.1;
21;8.63931;1.0.0.1;
22;5.33963;2.0.0.1;
23;11.4475;2.0.0.1;
24;7.34568;2.0.0.1;
25;7.48848;1.0.0.1;
26;5.3137;3.0.0.1;
27;0.902304;3.0.0.1;
28;7.33411;3.0.0.1;
29;7.87022;1.0.0.1;
30;7.85866;4.0.0.1;
31;0.011568;4.0.0.1;
32;0.092544;4.0.0.1;
33;0.219792;4.0.0.1;
34;0.589968;4.0.0.1;
35;1.83931;4.0.0.1;
36;4.51152;4.0.0.1;
37;4.77;3.0.0.1;
38;0.902304;3.0.0.1;
39;4.97424;3.0.0.1;
40;3.48875;4.0.0.1;
41;0.069408;4.0.0.1;
42;0.127248;4.0.0.1;
43;0.40488;4.0.0.1;
44;1.21464;4.0.0.1;
45;3.01925;4.0.0.1;
46;6.46458;1.0.0.1;
47;0;1.0.0.1;
48;0;1.0.0.1;
49;0;1.0.0.1;
50;0;1.0.0.1;
51;0;1.0.0.1;
52;0;1.0.0.1;
53;0;1.0.0.1;
54;0;1.0.0.1;
55;0;1.0.0.1;
56;0;1.0.0.1;
57;0;1.0.0.1;
58;0;1.0.0.1;
59;0;1.0.0.1;
60;0;1.0.0.1;
61;0;1.0.0.1;
62;0;1.0.0.1;
63;0;1.0.0.1;
64;0;1.0.0.1;
