Time_Now;MBytes_Received;MME
2;0;0;
3;0;0;
4;0;0;
5;0;0;
6;0;0;
7;0;0;
8;0;0;
9;0;0;
10;0;0;
11;0;0;
12;0;0;
13;0;0;
14;0;0;
15;0;0;
16;4.22901;2.1145;
17;0.902304;1.5084;
18;1.66869;1.58855;
19;0;0.794273;
20;4.29842;2.54634;
21;2.03597;2.29116;
22;11.7319;7.01151;
23;4.46814;5.73983;
24;3.06562;4.40272;
25;0;2.20136;
26;8.42331;5.31234;
27;5.76755;5.53994;
28;13.5781;9.55904;
29;5.63101;7.59502;
30;4.25214;5.92358;
31;1.36502;3.6443;
32;6.38283;5.01357;
33;0;2.50678;
34;4.20587;3.35633;
35;0.601536;1.97893;
36;7.19259;4.58576;
37;8.48115;6.53346;
38;2.12851;4.33098;
39;10.7903;7.56066;
40;0;3.78033;
41;0;1.89017;
42;0;0.945083;
43;0;0.472541;
44;0;0.236271;
45;0;0.118135;
46;0;0.0590677;
47;0;0.0295338;
48;0;0.0147669;
49;0;0.00738346;
50;0;0.00369173;
51;0;0.00184586;
52;0;0.000922932;
53;0;0.000461466;
54;0;0.000230733;
55;0;0.000115367;
56;0;5.76833e-05;
57;0;2.88416e-05;
58;0;1.44208e-05;
59;0;7.21041e-06;
60;0;3.6052e-06;
61;0;1.8026e-06;
62;0;9.01301e-07;
63;0;4.5065e-07;
64;0;2.25325e-07;
65;0;1.12663e-07;
