Segment_Index;Download_Request_Sent;Download_Start;Download_End;Segment_Size;Download_OK
0;2.41221;2.81534;3.41811;3128;Y;
1;3.41811;3.82084;6.23673;100000;Y;
2;6.23673;6.24282;6.46343;100000;Y;
3;6.46343;6.51876;6.68358;100000;Y;
4;6.68358;6.78606;7.04451;100000;Y;
5;7.04451;7.14597;7.57301;100000;Y;
6;7.57301;7.62401;7.82798;162500;Y;
7;7.82798;7.93166;8.15862;162500;Y;
8;8.15862;8.27014;8.97145;250000;Y;
9;8.97145;9.02782;9.44819;250000;Y;
10;9.44819;9.69214;11.2701;375000;Y;
11;11.2701;11.3715;12.2382;375000;Y;
12;12.2382;12.2928;12.9522;562500;Y;
13;12.9522;13.0573;13.3137;562500;Y;
14;13.3137;13.5506;15.9459;850000;Y;
15;15.9459;16.0486;17.0594;562500;Y;
16;17.0594;17.066;17.5454;562500;Y;
17;17.5454;17.55;18.7674;850000;Y;
18;18.7674;18.8197;19.5805;850000;Y;
19;19.5805;19.6869;21.0795;1175000;Y;
20;21.0795;21.4155;23.5763;1175000;Y;
21;23.5763;23.6825;25.7963;1500000;Y;
22;25.7963;26.0816;29.1424;1175000;Y;
23;29.1424;29.2822;30.443;850000;Y;
24;30.443;30.5161;31.0597;850000;Y;
25;31.0597;31.0661;32.0543;1175000;Y;
26;32.0543;32.0592;33.4928;1175000;Y;
27;33.4928;33.5942;34.5509;1175000;Y;
28;34.5509;34.602;36.304;1500000;Y;
29;36.304;36.5893;39.1778;1500000;Y;
