Segment_Index;Download_Request_Sent;Download_Start;Download_End;Segment_Size;Download_OK
0;2.41913;2.82216;3.42477;3128;Y;
1;3.42477;3.82727;6.24494;100000;Y;
2;6.24494;6.25187;6.64736;100000;Y;
3;6.64736;6.74286;7.07375;100000;Y;
4;7.07375;7.17528;7.61341;100000;Y;
5;7.61341;7.68881;7.81457;100000;Y;
6;7.81457;7.88823;8.0814;162500;Y;
7;8.0814;8.18407;8.27485;162500;Y;
8;8.27485;8.38699;8.5596;250000;Y;
9;8.5596;8.61063;8.93362;250000;Y;
10;8.93362;8.98462;9.41523;375000;Y;
11;9.41523;9.6609;11.2529;375000;Y;
12;11.2529;11.3542;12.2749;562500;Y;
13;12.2749;12.3714;13.9543;562500;Y;
14;13.9543;14.1618;16.0217;562500;Y;
15;16.0217;16.1229;17.1422;562500;Y;
16;17.1422;17.2344;19.0154;562500;Y;
17;19.0154;19.135;19.8233;562500;Y;
18;19.8233;19.8742;20.1128;562500;Y;
19;20.1128;20.1651;21.0119;850000;Y;
20;21.0119;21.309;23.3231;850000;Y;
21;23.3231;23.4267;25.0021;850000;Y;
22;25.0021;25.2455;26.4297;1175000;Y;
23;26.4297;26.4334;27.1376;850000;Y;
24;27.1376;27.2391;28.0465;850000;Y;
25;28.0465;28.0978;28.6915;1175000;Y;
26;28.6915;28.7429;29.2301;1175000;Y;
27;29.2301;29.5156;31.7723;1500000;Y;
28;31.7723;31.8738;33.013;1500000;Y;
29;33.5352;33.678;36.1344;1500000;Y;
