Time_Now;MBytes_Received;Server_Address
2;0;4.0.0.1;
3;0.011568;4.0.0.1;
4;0.04816;4.0.0.1;
5;0.127248;4.0.0.1;
6;0.40488;4.0.0.1;
7;2.59666;1.0.0.1;
8;2.85373;2.0.0.1;
9;2.58278;2.0.0.1;
10;2.17352;1.0.0.1;
11;2.08224;1.0.0.1;
12;2.1671;2.0.0.1;
13;6.07714;2.0.0.1;
14;4.60411;1.0.0.1;
15;2.52182;1.0.0.1;
16;4.17406;2.0.0.1;
17;3.93312;2.0.0.1;
18;7.17226;1.0.0.1;
19;5.94397;1.0.0.1;
20;5.65477;2.0.0.1;
21;6.35083;2.0.0.1;
22;3.11858;3.0.0.1;
23;2.0591;3.0.0.1;
24;7.27149;2.0.0.1;
25;2.83416;2.0.0.1;
26;9.06173;3.0.0.1;
27;0.416448;3.0.0.1;
28;2.76475;3.0.0.1;
29;5.43696;3.0.0.1;
30;4.00931;2.0.0.1;
31;9.83082;2.0.0.1;
32;9.41437;1.0.0.1;
33;7.57226;1.0.0.1;
34;2.97976;2.0.0.1;
35;11.7946;2.0.0.1;
36;6.08477;2.0.0.1;
37;2.96539;3.0.0.1;
38;1.35346;3.0.0.1;
39;7.79683;3.0.0.1;
40;2.7803;2.0.0.1;
41;0;2.0.0.1;
42;0;2.0.0.1;
43;0;2.0.0.1;
44;0;2.0.0.1;
45;0;2.0.0.1;
46;0;2.0.0.1;
47;0;2.0.0.1;
48;0;2.0.0.1;
49;0;2.0.0.1;
50;0;2.0.0.1;
51;0;2.0.0.1;
52;0;2.0.0.1;
53;0;2.0.0.1;
54;0;2.0.0.1;
55;0;2.0.0.1;
56;0;2.0.0.1;
57;0;2.0.0.1;
58;0;2.0.0.1;
59;0;2.0.0.1;
60;0;2.0.0.1;
61;0;2.0.0.1;
62;0;2.0.0.1;
63;0;2.0.0.1;
64;0;2.0.0.1;
