Time_Now;MBytes_Received;Server_Address
2;0;4.0.0.1;
3;0.011568;4.0.0.1;
4;0.04816;4.0.0.1;
5;0.127248;4.0.0.1;
6;0.40488;4.0.0.1;
7;1.76195;1.0.0.1;
8;2.50411;2.0.0.1;
9;6.06787;2.0.0.1;
10;2.87275;1.0.0.1;
11;2.15165;1.0.0.1;
12;2.81491;2.0.0.1;
13;4.45373;2.0.0.1;
14;2.40619;1.0.0.1;
15;0.508992;1.0.0.1;
16;3.78274;1.0.0.1;
17;2.71853;2.0.0.1;
18;2.40619;1.0.0.1;
19;4.07194;1.0.0.1;
20;6.89462;2.0.0.1;
21;8.82643;2.0.0.1;
22;0.26408;3.0.0.1;
23;3.05395;3.0.0.1;
24;4.50954;2.0.0.1;
25;5.77243;2.0.0.1;
26;4.78717;1.0.0.1;
27;10.1751;1.0.0.1;
28;7.21645;2.0.0.1;
29;15.2514;2.0.0.1;
30;4.56458;3.0.0.1;
31;2.04754;3.0.0.1;
32;9.91776;2.0.0.1;
33;11.4986;2.0.0.1;
34;0.443568;3.0.0.1;
35;0.613104;3.0.0.1;
36;8.80325;3.0.0.1;
37;2.57208;2.0.0.1;
38;0;2.0.0.1;
39;0;2.0.0.1;
40;0;2.0.0.1;
41;0;2.0.0.1;
42;0;2.0.0.1;
43;0;2.0.0.1;
44;0;2.0.0.1;
45;0;2.0.0.1;
46;0;2.0.0.1;
47;0;2.0.0.1;
48;0;2.0.0.1;
49;0;2.0.0.1;
50;0;2.0.0.1;
51;0;2.0.0.1;
52;0;2.0.0.1;
53;0;2.0.0.1;
54;0;2.0.0.1;
55;0;2.0.0.1;
56;0;2.0.0.1;
57;0;2.0.0.1;
58;0;2.0.0.1;
59;0;2.0.0.1;
60;0;2.0.0.1;
61;0;2.0.0.1;
62;0;2.0.0.1;
63;0;2.0.0.1;
64;0;2.0.0.1;
