Time_Now;MBytes_Received;MME
2;0;0;
3;0;0;
4;0;0;
5;0;0;
6;0;0;
7;0;0;
8;12.6;6.3;
9;21.6;13.95;
10;0;6.975;
11;0;3.4875;
12;16.4604;9.97393;
13;17.6133;13.7936;
14;1.71699;7.75531;
15;1.00931;4.38231;
16;4.22901;4.30566;
17;15.8116;10.0586;
18;8.4629;9.26075;
19;11.626;10.4434;
20;14.1689;12.3062;
21;11.9016;12.1039;
22;5.61717;8.86052;
23;11.6789;10.2697;
24;22.4593;16.3645;
25;10.7679;13.5662;
26;8.47674;11.0215;
27;0;5.51074;
28;6.8;6.15537;
29;18.0596;12.1075;
30;15.1704;13.639;
31;15.1242;14.3816;
32;7.07483;10.7282;
33;7.77099;9.2496;
34;4.80741;7.0285;
35;16.7177;11.8731;
36;9.27493;10.574;
37;0;5.287;
38;0;2.6435;
39;0;1.32175;
40;0;0.660875;
41;0;0.330438;
42;0;0.165219;
43;0;0.0826094;
44;0;0.0413047;
45;0;0.0206524;
46;0;0.0103262;
47;0;0.00516309;
48;0;0.00258154;
49;0;0.00129077;
50;0;0.000645386;
51;0;0.000322693;
52;0;0.000161347;
53;0;8.06733e-05;
54;0;4.03366e-05;
55;0;2.01683e-05;
56;0;1.00842e-05;
57;0;5.04208e-06;
58;0;2.52104e-06;
59;0;1.26052e-06;
60;0;6.3026e-07;
61;0;3.1513e-07;
62;0;1.57565e-07;
63;0;7.87825e-08;
64;0;3.93912e-08;
65;0;1.96956e-08;
