Segment_Index;Playback_Start;Quality_Level;Server_Address
0;3.42031;0;4.0.0.1;
1;6.23805;0;4.0.0.1;
2;8.23805;0;2.0.0.1;
3;10.238;0;1.0.0.1;
4;12.238;0;2.0.0.1;
5;14.238;0;2.0.0.1;
6;16.238;1;2.0.0.1;
7;18.238;1;3.0.0.1;
8;20.238;2;2.0.0.1;
9;22.238;2;1.0.0.1;
10;24.238;3;2.0.0.1;
11;26.238;3;1.0.0.1;
12;28.238;4;1.0.0.1;
13;30.238;4;1.0.0.1;
14;32.238;5;1.0.0.1;
15;34.238;5;1.0.0.1;
16;36.238;4;1.0.0.1;
17;38.238;4;4.0.0.1;
18;40.238;5;3.0.0.1;
19;42.238;5;3.0.0.1;
20;44.238;6;3.0.0.1;
21;46.238;6;1.0.0.1;
22;48.238;7;1.0.0.1;
23;50.238;7;1.0.0.1;
24;52.238;7;1.0.0.1;
25;54.238;7;1.0.0.1;
26;56.238;7;1.0.0.1;
27;58.238;6;1.0.0.1;
28;60.238;5;1.0.0.1;
29;62.238;4;1.0.0.1;
