Segment_Index;Playback_Start;Quality_Level;Server_Address
0;3.42127;0;4.0.0.1;
1;6.24578;0;4.0.0.1;
2;8.24578;0;2.0.0.1;
3;10.2458;0;2.0.0.1;
4;12.2458;0;1.0.0.1;
5;14.2458;0;1.0.0.1;
6;16.2458;1;1.0.0.1;
7;18.2458;1;2.0.0.1;
8;20.2458;2;2.0.0.1;
9;22.2458;2;3.0.0.1;
10;24.2458;3;1.0.0.1;
11;26.2458;3;2.0.0.1;
12;28.2458;4;2.0.0.1;
13;30.2458;4;3.0.0.1;
14;32.2458;4;2.0.0.1;
15;34.2458;5;2.0.0.1;
16;36.2458;5;2.0.0.1;
17;38.2458;6;1.0.0.1;
18;40.2458;6;1.0.0.1;
19;42.2458;5;1.0.0.1;
20;44.2458;5;1.0.0.1;
21;46.2458;6;1.0.0.1;
22;48.2458;6;1.0.0.1;
23;50.2458;7;1.0.0.1;
24;52.2458;6;1.0.0.1;
25;54.2458;6;1.0.0.1;
26;56.2458;7;1.0.0.1;
27;58.2458;6;1.0.0.1;
28;60.2458;6;1.0.0.1;
29;62.2458;7;1.0.0.1;
