Time_Now;Buffer_Level 
3.42477;0
3.42477;2;
6.24494;0
6.24494;2;
6.64736;1.59757
6.64736;3.59757;
7.07375;3.17118
7.07375;5.17119;
7.61341;4.63153
7.61341;6.63153;
7.81457;6.43037
7.81457;8.43037;
8.0814;8.16354
8.0814;10.1635;
8.27485;9.97008
8.27485;11.9701;
8.5596;11.6853
8.5596;13.6853;
8.93362;13.3113
8.93362;15.3113;
9.41523;14.8297
9.41523;16.8297;
11.2529;14.992
11.2529;16.992;
12.2749;15.97
12.2749;17.97;
13.9543;16.2907
13.9543;18.2907;
16.0217;16.2232
16.0217;18.2232;
17.1422;17.1027
17.1422;19.1027;
19.0154;17.2295
19.0154;19.2295;
19.8233;18.4217
19.8233;20.4217;
20.1128;20.1322
20.1128;22.1322;
21.0119;21.233
21.0119;23.233;
23.3231;20.9218
23.3231;22.9218;
25.0021;21.2429
25.0021;23.2429;
26.4297;21.8153
26.4297;23.8153;
27.1376;23.1073
27.1376;25.1073;
28.0465;24.1984
28.0465;26.1984;
28.6915;25.5534
28.6915;27.5534;
29.2301;27.0148
29.2301;29.0148;
31.7723;26.4727
31.7723;28.4727;
33.013;27.232
33.013;29.232;
36.1344;26.1106
36.1344;28.1106;
