Segment_Index;Download_Request_Sent;Download_Start;Download_End;Segment_Size;Download_OK
0;2.41553;2.81861;3.42127;3128;Y;
1;3.42127;3.82509;6.24578;100000;Y;
2;6.24578;6.26031;6.74183;100000;Y;
3;6.74183;6.86646;7.07255;100000;Y;
4;7.07255;7.17382;7.60219;100000;Y;
5;7.60219;7.66721;7.79469;100000;Y;
6;7.79469;7.84563;8.03966;162500;Y;
7;8.03966;8.11422;8.1822;162500;Y;
8;8.1822;8.29279;8.51592;250000;Y;
9;8.51592;8.5674;9.32479;250000;Y;
10;9.32479;9.52516;10.9522;375000;Y;
11;10.9522;11.0699;11.507;375000;Y;
12;11.507;11.6083;13.0709;562500;Y;
13;13.0709;13.0771;13.5496;562500;Y;
14;13.5496;13.5531;14.1076;562500;Y;
15;14.1076;14.163;15.7912;850000;Y;
16;15.7912;15.8925;16.8581;850000;Y;
17;16.8581;16.969;19.1341;1175000;Y;
18;19.1341;19.4195;21.5421;1175000;Y;
19;21.5421;21.5481;22.3509;850000;Y;
20;22.3509;22.3629;23.0673;850000;Y;
21;23.0673;23.1715;24.5599;1175000;Y;
22;24.5599;24.6275;25.6608;1175000;Y;
23;25.6608;25.9461;29.1031;1500000;Y;
24;29.1031;29.2626;30.579;1175000;Y;
25;30.579;30.6638;31.5856;1175000;Y;
26;31.5856;31.8364;34.2797;1500000;Y;
27;34.2797;34.5017;35.5945;1175000;Y;
28;35.5945;35.601;36.5868;1175000;Y;
29;36.5868;36.5903;37.834;1500000;Y;
