% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
3.509	2	2	351	10	1	28	2292	0
3.605	1	1	361	6	1	28	2292	0
3.605	2	2	361	6	1	28	2292	0
3.609	1	1	361	10	1	28	2292	0
3.609	2	2	361	10	1	28	2292	0
3.705	1	1	371	6	1	28	2292	0
3.705	2	2	371	6	1	28	2292	0
3.709	1	1	371	10	1	28	2292	0
3.709	2	2	371	10	1	28	2292	0
3.805	1	1	381	6	1	28	2292	0
3.805	2	2	381	6	1	28	2292	0
3.809	1	1	381	10	1	28	2292	0
3.809	2	2	381	10	1	28	2292	0
3.905	1	1	391	6	1	28	2292	0
3.905	2	2	391	6	1	28	2292	0
3.909	1	1	391	10	1	28	2292	0
3.909	2	2	391	10	1	28	2292	0
4.005	1	1	401	6	1	28	2292	0
4.005	2	2	401	6	1	28	2292	0
4.009	1	1	401	10	1	28	2292	0
4.009	2	2	401	10	1	28	2292	0
4.105	1	1	411	6	1	28	2292	0
4.105	2	2	411	6	1	28	2292	0
4.109	1	1	411	10	1	28	2292	0
4.109	2	2	411	10	1	28	2292	0
4.205	1	1	421	6	1	28	2292	0
4.205	2	2	421	6	1	28	2292	0
4.209	1	1	421	10	1	28	2292	0
4.209	2	2	421	10	1	28	2292	0
4.305	1	1	431	6	1	28	2292	0
4.305	2	2	431	6	1	28	2292	0
4.309	1	1	431	10	1	28	2292	0
4.309	2	2	431	10	1	28	2292	0
4.405	1	1	441	6	1	28	2292	0
4.405	2	2	441	6	1	28	2292	0
4.409	1	1	441	10	1	28	2292	0
4.409	2	2	441	10	1	28	2292	0
4.505	1	1	451	6	1	28	2292	0
4.505	2	2	451	6	1	28	2292	0
4.509	1	1	451	10	1	28	2292	0
4.509	2	2	451	10	1	28	2292	0
4.605	1	1	461	6	1	28	2292	0
4.605	2	2	461	6	1	28	2292	0
4.609	1	1	461	10	1	28	2292	0
4.609	2	2	461	10	1	28	2292	0
4.705	1	1	471	6	1	28	2292	0
4.705	2	2	471	6	1	28	2292	0
4.709	1	1	471	10	1	28	2292	0
4.709	2	2	471	10	1	28	2292	0
4.805	1	1	481	6	1	28	2292	0
4.805	2	2	481	6	1	28	2292	0
4.809	1	1	481	10	1	28	2292	0
4.809	2	2	481	10	1	28	2292	0
4.905	1	1	491	6	1	28	2292	0
4.905	2	2	491	6	1	28	2292	0
4.909	1	1	491	10	1	28	2292	0
4.909	2	2	491	10	1	28	2292	0
5.005	1	1	501	6	1	28	2292	0
5.005	2	2	501	6	1	28	2292	0
5.009	1	1	501	10	1	28	2292	0
5.009	2	2	501	10	1	28	2292	0
5.105	1	1	511	6	1	28	2292	0
5.105	2	2	511	6	1	28	2292	0
5.109	1	1	511	10	1	28	2292	0
5.109	2	2	511	10	1	28	2292	0
5.205	1	1	521	6	1	28	2292	0
5.205	2	2	521	6	1	28	2292	0
5.209	1	1	521	10	1	28	2292	0
5.209	2	2	521	10	1	28	2292	0
5.305	1	1	531	6	1	28	2292	0
5.305	2	2	531	6	1	28	2292	0
5.309	1	1	531	10	1	28	2292	0
5.309	2	2	531	10	1	28	2292	0
5.405	1	1	541	6	1	28	2292	0
5.405	2	2	541	6	1	28	2292	0
5.409	1	1	541	10	1	28	2292	0
5.409	2	2	541	10	1	28	2292	0
5.505	1	1	551	6	1	28	2292	0
5.505	2	2	551	6	1	28	2292	0
5.509	1	1	551	10	1	28	2292	0
5.509	2	2	551	10	1	28	2292	0
5.605	1	1	561	6	1	28	2292	0
5.605	2	2	561	6	1	28	2292	0
5.609	1	1	561	10	1	28	2292	0
5.609	2	2	561	10	1	28	2292	0
5.705	1	1	571	6	1	28	2292	0
5.705	2	2	571	6	1	28	2292	0
5.709	1	1	571	10	1	28	2292	0
5.709	2	2	571	10	1	28	2292	0
5.805	1	1	581	6	1	28	2292	0
5.805	2	2	581	6	1	28	2292	0
5.809	1	1	581	10	1	28	2292	0
5.809	2	2	581	10	1	28	2292	0
5.905	1	1	591	6	1	28	2292	0
5.905	2	2	591	6	1	28	2292	0
5.909	1	1	591	10	1	28	2292	0
5.909	2	2	591	10	1	28	2292	0
6.005	1	1	601	6	1	28	2292	0
6.005	2	2	601	6	1	28	2292	0
6.009	1	1	601	10	1	28	2292	0
6.009	2	2	601	10	1	28	2292	0
6.105	1	1	611	6	1	28	2292	0
6.105	2	2	611	6	1	28	2292	0
6.109	1	1	611	10	1	28	2292	0
6.109	2	2	611	10	1	28	2292	0
6.205	1	1	621	6	1	28	2292	0
6.205	2	2	621	6	1	28	2292	0
6.209	1	1	621	10	1	28	2292	0
6.209	2	2	621	10	1	28	2292	0
6.305	1	1	631	6	1	28	2292	0
6.305	2	2	631	6	1	28	2292	0
6.309	1	1	631	10	1	28	2292	0
6.309	2	2	631	10	1	28	2292	0
6.405	1	1	641	6	1	28	2292	0
6.405	2	2	641	6	1	28	2292	0
6.409	1	1	641	10	1	28	2292	0
6.409	2	2	641	10	1	28	2292	0
6.505	1	1	651	6	1	28	2292	0
6.505	2	2	651	6	1	28	2292	0
6.509	1	1	651	10	1	28	2292	0
6.509	2	2	651	10	1	28	2292	0
6.605	1	1	661	6	1	28	2292	0
6.605	2	2	661	6	1	28	2292	0
6.609	1	1	661	10	1	28	2292	0
6.609	2	2	661	10	1	28	2292	0
6.705	1	1	671	6	1	28	2292	0
6.705	2	2	671	6	1	28	2292	0
6.709	1	1	671	10	1	28	2292	0
6.709	2	2	671	10	1	28	2292	0
6.805	1	1	681	6	1	28	2292	0
6.805	2	2	681	6	1	28	2292	0
6.809	1	1	681	10	1	28	2292	0
6.809	2	2	681	10	1	28	2292	0
6.905	1	1	691	6	1	28	2292	0
6.905	2	2	691	6	1	28	2292	0
6.909	1	1	691	10	1	28	2292	0
6.909	2	2	691	10	1	28	2292	0
7.005	1	1	701	6	1	28	2292	0
7.005	2	2	701	6	1	28	2292	0
7.009	1	1	701	10	1	28	2292	0
7.009	2	2	701	10	1	28	2292	0
7.105	1	1	711	6	1	28	2292	0
7.105	2	2	711	6	1	28	2292	0
7.109	1	1	711	10	1	28	2292	0
