% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
3911	2	2	1	0	28	2292	0	1	0
3915	1	1	1	0	28	2292	0	1	0
3915	2	2	1	0	28	2292	0	1	0
4011	1	1	1	0	28	2292	0	1	0
4011	2	2	1	0	28	2292	0	1	0
4015	1	1	1	0	28	2292	0	1	0
4015	2	2	1	0	28	2292	0	1	0
4111	1	1	1	0	28	2292	0	1	0
4111	2	2	1	0	28	2292	0	1	0
4115	1	1	1	0	28	2292	0	1	0
4115	2	2	1	0	28	2292	0	1	0
4211	1	1	1	0	28	2292	0	1	0
4211	2	2	1	0	28	2292	0	1	0
4215	1	1	1	0	28	2292	0	1	0
4215	2	2	1	0	28	2292	0	1	0
4311	1	1	1	0	28	2292	0	1	0
4311	2	2	1	0	28	2292	0	1	0
4315	1	1	1	0	28	2292	0	1	0
4315	2	2	1	0	28	2292	0	1	0
4411	1	1	1	0	28	2292	0	1	0
4411	2	2	1	0	28	2292	0	1	0
4415	1	1	1	0	28	2292	0	1	0
4415	2	2	1	0	28	2292	0	1	0
4511	1	1	1	0	28	2292	0	1	0
4511	2	2	1	0	28	2292	0	1	0
4515	1	1	1	0	28	2292	0	1	0
4515	2	2	1	0	28	2292	0	1	0
4611	1	1	1	0	28	2292	0	1	0
4611	2	2	1	0	28	2292	0	1	0
4615	1	1	1	0	28	2292	0	1	0
4615	2	2	1	0	28	2292	0	1	0
4711	1	1	1	0	28	2292	0	1	0
4711	2	2	1	0	28	2292	0	1	0
4715	1	1	1	0	28	2292	0	1	0
4715	2	2	1	0	28	2292	0	1	0
4811	1	1	1	0	28	2292	0	1	0
4811	2	2	1	0	28	2292	0	1	0
4815	1	1	1	0	28	2292	0	1	0
4815	2	2	1	0	28	2292	0	1	0
4911	1	1	1	0	28	2292	0	1	0
4911	2	2	1	0	28	2292	0	1	0
4915	1	1	1	0	28	2292	0	1	0
4915	2	2	1	0	28	2292	0	1	0
5011	1	1	1	0	28	2292	0	1	0
5011	2	2	1	0	28	2292	0	1	0
5015	1	1	1	0	28	2292	0	1	0
5015	2	2	1	0	28	2292	0	1	0
5111	1	1	1	0	28	2292	0	1	0
5111	2	2	1	0	28	2292	0	1	0
