% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
3314	1	1	1	0	0	28	2196	0	1	1	0
3314	2	2	1	0	0	28	2196	0	1	1	0
3403	1	1	1	0	0	28	2196	0	1	1	0
3403	2	2	1	0	0	28	2196	0	1	1	0
3414	1	1	1	0	0	28	2196	0	1	1	0
3414	2	2	1	0	0	28	2196	0	1	1	0
3503	1	1	1	0	0	28	2196	0	1	1	0
3503	2	2	1	0	0	28	2196	0	1	1	0
3514	1	1	1	0	0	28	2196	0	1	1	0
3514	2	2	1	0	0	28	2196	0	1	1	0
3603	1	1	1	0	0	28	2196	0	1	1	0
3603	2	2	1	0	0	28	2196	0	1	1	0
3614	1	1	1	0	0	28	2196	0	1	1	0
3614	2	2	1	0	0	28	2196	0	1	1	0
3703	1	1	1	0	0	28	2196	0	1	1	0
3703	2	2	1	0	0	28	2196	0	1	1	0
3714	1	1	1	0	0	28	2196	0	1	1	0
3714	2	2	1	0	0	28	2196	0	1	1	0
3803	1	1	1	0	0	28	2196	0	1	1	0
3803	2	2	1	0	0	28	2196	0	1	1	0
3814	1	1	1	0	0	28	2196	0	1	1	0
3814	2	2	1	0	0	28	2196	0	1	1	0
3903	1	1	1	0	0	28	2196	0	1	1	0
3903	2	2	1	0	0	28	2196	0	1	1	0
3914	1	1	1	0	0	28	2196	0	1	1	0
3914	2	2	1	0	0	28	2196	0	1	1	0
4003	1	1	1	0	0	28	2196	0	1	1	0
4003	2	2	1	0	0	28	2196	0	1	1	0
4014	1	1	1	0	0	28	2196	0	1	1	0
4014	2	2	1	0	0	28	2196	0	1	1	0
4103	1	1	1	0	0	28	2196	0	1	1	0
4103	2	2	1	0	0	28	2196	0	1	1	0
4114	1	1	1	0	0	28	2196	0	1	1	0
4114	2	2	1	0	0	28	2196	0	1	1	0
4203	1	1	1	0	0	28	2196	0	1	1	0
4203	2	2	1	0	0	28	2196	0	1	1	0
4214	1	1	1	0	0	28	2196	0	1	1	0
4214	2	2	1	0	0	28	2196	0	1	1	0
4303	1	1	1	0	0	28	2196	0	1	1	0
4303	2	2	1	0	0	28	2196	0	1	1	0
4314	1	1	1	0	0	28	2196	0	1	1	0
4314	2	2	1	0	0	28	2196	0	1	1	0
4403	1	1	1	0	0	28	2196	0	1	1	0
4403	2	2	1	0	0	28	2196	0	1	1	0
4414	1	1	1	0	0	28	2196	0	1	1	0
4414	2	2	1	0	0	28	2196	0	1	1	0
4503	1	1	1	0	0	28	2196	0	1	1	0
4503	2	2	1	0	0	28	2196	0	1	1	0
4514	1	1	1	0	0	28	2196	0	1	1	0
4514	2	2	1	0	0	28	2196	0	1	1	0
4603	1	1	1	0	0	28	2196	0	1	1	0
4603	2	2	1	0	0	28	2196	0	1	1	0
4614	1	1	1	0	0	28	2196	0	1	1	0
4614	2	2	1	0	0	28	2196	0	1	1	0
4703	1	1	1	0	0	28	2196	0	1	1	0
4703	2	2	1	0	0	28	2196	0	1	1	0
4714	1	1	1	0	0	28	2196	0	1	1	0
4714	2	2	1	0	0	28	2196	0	1	1	0
4803	1	1	1	0	0	28	2196	0	1	1	0
4803	2	2	1	0	0	28	2196	0	1	1	0
4814	1	1	1	0	0	28	2196	0	1	1	0
4814	2	2	1	0	0	28	2196	0	1	1	0
4903	1	1	1	0	0	28	2196	0	1	1	0
4903	2	2	1	0	0	28	2196	0	1	1	0
4914	1	1	1	0	0	28	2196	0	1	1	0
4914	2	2	1	0	0	28	2196	0	1	1	0
5003	1	1	1	0	0	28	2196	0	1	1	0
5003	2	2	1	0	0	28	2196	0	1	1	0
5014	1	1	1	0	0	28	2196	0	1	1	0
5014	2	2	1	0	0	28	2196	0	1	1	0
5103	1	1	1	0	0	28	2196	0	1	1	0
5103	2	2	1	0	0	28	2196	0	1	1	0
5114	1	1	1	0	0	28	2196	0	1	1	0
5114	2	2	1	0	0	28	2196	0	1	1	0
5203	1	1	1	0	0	28	2196	0	1	1	0
5203	2	2	1	0	0	28	2196	0	1	1	0
5214	1	1	1	0	0	28	2196	0	1	1	0
5214	2	2	1	0	0	28	2196	0	1	1	0
5303	1	1	1	0	0	28	2196	0	1	1	0
5303	2	2	1	0	0	28	2196	0	1	1	0
5314	1	1	1	0	0	28	2196	0	1	1	0
5314	2	2	1	0	0	28	2196	0	1	1	0
5403	1	1	1	0	0	28	2196	0	1	1	0
5403	2	2	1	0	0	28	2196	0	1	1	0
5414	1	1	1	0	0	28	2196	0	1	1	0
5414	2	2	1	0	0	28	2196	0	1	1	0
5503	1	1	1	0	0	28	2196	0	1	1	0
5503	2	2	1	0	0	28	2196	0	1	1	0
5514	1	1	1	0	0	28	2196	0	1	1	0
5514	2	2	1	0	0	28	2196	0	1	1	0
5603	1	1	1	0	0	28	2196	0	1	1	0
5603	2	2	1	0	0	28	2196	0	1	1	0
5614	1	1	1	0	0	28	2196	0	1	1	0
5614	2	2	1	0	0	28	2196	0	1	1	0
5703	1	1	1	0	0	28	2196	0	1	1	0
5703	2	2	1	0	0	28	2196	0	1	1	0
5714	1	1	1	0	0	28	2196	0	1	1	0
5714	2	2	1	0	0	28	2196	0	1	1	0
5803	1	1	1	0	0	28	2196	0	1	1	0
5803	2	2	1	0	0	28	2196	0	1	1	0
5814	1	1	1	0	0	28	2196	0	1	1	0
5814	2	2	1	0	0	28	2196	0	1	1	0
5903	1	1	1	0	0	28	2196	0	1	1	0
5903	2	2	1	0	0	28	2196	0	1	1	0
5914	1	1	1	0	0	28	2196	0	1	1	0
5914	2	2	1	0	0	28	2196	0	1	1	0
6003	1	1	1	0	0	28	2196	0	1	1	0
6003	2	2	1	0	0	28	2196	0	1	1	0
6014	1	1	1	0	0	28	2196	0	1	1	0
6014	2	2	1	0	0	28	2196	0	1	1	0
6103	1	1	1	0	0	28	2196	0	1	1	0
6103	2	2	1	0	0	28	2196	0	1	1	0
6114	1	1	1	0	0	28	2196	0	1	1	0
6114	2	2	1	0	0	28	2196	0	1	1	0
6203	1	1	1	0	0	28	2196	0	1	1	0
6203	2	2	1	0	0	28	2196	0	1	1	0
6214	1	1	1	0	0	28	2196	0	1	1	0
6214	2	2	1	0	0	28	2196	0	1	1	0
6303	1	1	1	0	0	28	2196	0	1	1	0
6303	2	2	1	0	0	28	2196	0	1	1	0
6314	1	1	1	0	0	28	2196	0	1	1	0
6314	2	2	1	0	0	28	2196	0	1	1	0
6403	1	1	1	0	0	28	2196	0	1	1	0
6403	2	2	1	0	0	28	2196	0	1	1	0
6414	1	1	1	0	0	28	2196	0	1	1	0
6414	2	2	1	0	0	28	2196	0	1	1	0
6503	1	1	1	0	0	28	2196	0	1	1	0
6503	2	2	1	0	0	28	2196	0	1	1	0
